id,name,state,city,address,lat,lng,geo_precision,type,source_url,note
sbs-0054,Ambubai Residential School for Blind Girls,Karnataka,Kalaburagi (Gulbarga),"H.No. 4-282, Maktampura, Gulbarga - 585101, Karnataka",17.3297,76.8343,city,"NGO-run (girls, residential)",https://targetstudy.com/school/schools-for-blinds-schools-in-karnataka.html,
sbs-0055,Shree Ramana Maharishi School for the Blind,Karnataka,"Kanakapura, Bengaluru Rural","Kanakapura, Bangalore Rural District, Karnataka",12.5461,77.4204,city,NGO-run,https://www.getmyuni.com/articles/blind-schools,Possibly linked to SRMAB J.P. Nagar network — could not confirm if separate campus or duplicate listing.
sbs-0056,Karnataka Navachethana Blind School,Karnataka,"Kunigal, Tumakuru","Kunigal, Tumkur - 572130, Karnataka",13.3379,77.1173,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-karnataka.html,
sbs-0057,Mobility Training Centre for the Blind,Karnataka,Mangaluru,"7th Cross, Rotary Health Centre, N.G. Road, Near KMC Hospital, Attavar, Mangalore - 575001, Karnataka",12.9141,74.856,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-karnataka.html,
sbs-0058,Sree Siddaganga School for Blind,Karnataka,Tumakuru,"Sree Siddaganga Math, Tumkur - 561204, Karnataka",13.3379,77.1173,city,NGO-run (est. 1978),https://targetstudy.com/school/schools-for-blinds-schools-in-karnataka.html,
sbs-0059,"School for the Blind, Aluva (Kerala Blind School Society)",Kerala,"Aluva, Ernakulam","Keezhmad, Aluva Block, Ernakulam District, Kerala (est. 1962)",10.1075,76.3517,city,NGO-run,https://www.aluvablindschool.in/,
sbs-0060,Helen Keller Centenary Memorial Model School for the Blind,Kerala,"Karimpuzha, Palakkad","Karimpuzha, Palakkad, Kerala (est. 1980, state-aided)",10.7867,76.6548,district-approx,Aided Special School,https://eyeway.org.in/?q=kerala-federation-blind-0,
sbs-0061,"Government School for the Blind, Kasaragod",Kerala,Kasaragod,"Kasaragod, Kerala",12.4996,74.9869,city,Government Special School,http://m.crossthehurdles.org/education/institution/visually_impaired/Kerala.html,
sbs-0062,"Government School for the Blind, Olasha",Kerala,Kottayam,"Olasha, Kottayam, Kerala",9.5916,76.5222,city,Government Special School,http://m.crossthehurdles.org/education/institution/visually_impaired/Kerala.html,
sbs-0063,Kerala Federation of the Blind — Training & Rehabilitation Centre,Kerala,Kottayam,"Near Law College Junction, Kunnukuzhi, Thiruvananthapuram HQ; centres also in Kozhikode and Ernakulam, Kerala",9.5916,76.5222,city,NGO training/rehab centre (not a K-12 school),https://kfbkottayam.org/about-us.php,
sbs-0064,Louis Braille Memorial Model School for the Blind,Kerala,"Kudayathur, Idukki","Kudayathur, Idukki District, Kerala (est. 1997, state-aided)",9.9189,77.1025,district-approx,Aided Special School,https://eyeway.org.in/?q=kerala-federation-blind-0,
sbs-0065,Ma'din School for Blind,Kerala,Malappuram,"Swalath Nagar, Edupark, Melmuri, Malappuram - 676517, Kerala",11.051,76.0711,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-kerala.html,
sbs-0066,National Association for the Blind — Bhopal Branch,Madhya Pradesh,Bhopal,Bhopal (founded 1986),23.2599,77.4126,city,NGO-run,http://nabbhopal.org/,
sbs-0067,"Deaf, Dumb & Blind School 'Sewa Mandir'",Madhya Pradesh,Indore,Indore,22.7196,75.8577,city,NGO-run,https://www.facebook.com/p/DEAF-DUMB-BLIND-SCHOOL-SEWA-MANDIR-INDORE-100064660150645/,
sbs-0068,Helen & Care Blind Higher Secondary School,Madhya Pradesh,Indore,"Kila Maidan, Ward No. 48, Indore",22.7196,75.8577,city,NGO-run,https://schools.org.in/indore/23260104812/helen-&-care-blind-h-s-school-kilamaidan-indore.html,
sbs-0069,Helen Keller Academy,Madhya Pradesh,Indore,Indore,22.7196,75.8577,city,NGO-run,https://www.aidonline.net/mpwab,
sbs-0070,National Association for the Blind — Indore Branch,Madhya Pradesh,Indore,Indore,22.7196,75.8577,city,NGO-run,https://www.nabindore.org/,
sbs-0071,Netraheen Kanya Vidyalay (Blind Girls High School),Madhya Pradesh,Jabalpur,"Napier Town, Jabalpur - 482001",23.1815,79.9864,city,Government Special School,https://www.mappls.com/bpleur,
sbs-0072,Dr. Narendra Bhivapurakar Andha Vidyalay,Maharashtra,Amravati,Amravati,20.9374,77.7796,city,NGO-run,https://www.indiainfo.net/s/blind-school-in-maharashtra,
sbs-0073,Yashwant Andh Vidyalay,Maharashtra,Amravati,Amravati,20.9374,77.7796,city,NGO-run,https://www.indiainfo.net/s/blind-school-in-maharashtra,
sbs-0074,Taramati Bafna Blind School (Cidco Campus),Maharashtra,Aurangabad,"Plot No. 41, N-5 (South), Abasaheb Garware Road, Cidco, Aurangabad - 431003",19.8762,75.3433,city,NGO-run,https://teachtheblind.com/,
sbs-0075,Tarawati Bafna Blind School (MIDC Campus),Maharashtra,Aurangabad,"F-23/2, MIDC, Chikalthana, Aurangabad - 431210",19.8556,75.3803,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0076,Pragati Andh Vidyalaya,Maharashtra,"Badlapur, Thane","Badlapur, Thane - 421504",19.1663,73.2183,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0077,Apang Kalyan & Punarvasan Sanstha,Maharashtra,Buldhana,Buldhana,20.5292,76.1811,city,NGO-run,https://www.indiainfo.net/s/blind-school-in-maharashtra,
sbs-0078,Dyan Prabodhan Bhavan Sanchalit Andhashala,Maharashtra,Kolhapur,"Miraj-Tikati, Kolhapur",16.705,74.2433,city,NGO-run,https://www.indiainfo.net/s/blind-school-in-maharashtra,
sbs-0079,Prabodhan Andh Vidyalay,Maharashtra,"Koregaon, Satara","Koregaon, Satara district",17.6805,74.1683,city,NGO-run,https://www.indiainfo.net/s/blind-school-in-maharashtra,
sbs-0080,All India Andh Stri Hitt Association (AIASHA),Maharashtra,Mumbai,"B-306/5 Government Colony, Bandra (E), Mumbai - 400051",19.0596,72.8656,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0081,Andhakshi Ashram,Maharashtra,Mumbai,"37 Gilbert Hill Road, Andheri (W), Mumbai - 400058",19.1197,72.8464,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0082,Association for Relief & Education of the Blind & Needy Indian Families,Maharashtra,Mumbai,"Near Rationing Office, 35 Dadabhai Road, Andheri (W), Mumbai - 400058",19.1197,72.8464,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0083,Blind Men's Association,Maharashtra,Mumbai,"62/2198 Akshay Co-op Housing Society, Road No. 5, Tilak Nagar, Mumbai - 400089",19.0863,72.9081,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0084,Blind Men's Industrial Co-op Society,Maharashtra,Mumbai,"Chawan Bhavan, 1 Stn Rd, Tagore Nagar, Vikhroli (E), Mumbai - 400083",19.1073,72.9291,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0085,Blind Relief Association,Maharashtra,Mumbai,"Botawala Building, 481 Kalbadevi Road, Mumbai - 400002",18.9508,72.8281,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0086,Blind Welfare Centre,Maharashtra,Mumbai,"10 Malwani Colony, Malad (West), Mumbai - 400095",19.1874,72.8358,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0087,Happy Home & School for the Blind,Maharashtra,Mumbai,"Dr. Annie Besant Road, Worli, Mumbai - 400018",19.0176,72.8154,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0088,Helen Keller Institute for Deaf and Deafblind (Byculla),Maharashtra,Mumbai,"South Wing, Near 'S' Bridge, N.M. Joshi Marg, Byculla (W), Mumbai - 400011",18.9776,72.8317,city,Deaf-Blind School,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0089,Indian Association for Visually Handicapped,Maharashtra,Mumbai,"B Road, Churchgate, Mumbai - 400020",18.9322,72.8264,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0090,Industrial Home for Blind Women,Maharashtra,Mumbai,"Lallubhai Park 25, Andheri West, Mumbai - 400058",19.1197,72.8464,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0091,Kamla Mehta Dadar School for the Blind,Maharashtra,Mumbai,"160 Dadasaheb Phalke Road, Dadar East, Mumbai - 400014",19.0176,72.8478,city,Government Special School,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0092,M.N.B. Industrial Home for the Blind,Maharashtra,Mumbai,"Chateau Dieu, 280 Swami Vivekanand Road, Jogeshwari (W), Mumbai - 400102",19.1364,72.8296,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0093,Muskan Child Development Centre,Maharashtra,Mumbai,"15 Prashanti, Kalanagar, Bandra (E), Mumbai - 400051",19.0596,72.8656,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0094,NAB Mata Lachmi Nursery for the Blind,Maharashtra,Mumbai,"218 East Sion Road, Opposite Sion Hospital, Sion, Mumbai - 400022",19.0448,72.8617,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0095,National Association for the Blind (NAB) - Worli,Maharashtra,Mumbai,"11 Khan Abdul Gaffar Khan Road, Worli, Mumbai - 400025 (also listed at 124-127 Rustom Alpaiwalla Complex, Near Reay Road Station, Mumbai - 400003)",19.0176,72.8154,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0096,National Association of Disabled Enterprises (NADE),Maharashtra,Mumbai,"Kannamwar Nagar, Vikhroli (E), Mumbai - 400083",19.1073,72.9291,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0097,National Federation of the Blind — Rachnatmak Karya Samiti,Maharashtra,Mumbai,"R.S. Road, Vile Parle West, Mumbai - 400056",19.0997,72.8348,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0098,Relief and Welfare Society for the Blind,Maharashtra,Mumbai,"Training Centre, B.M.C. Township School, Malad (West), Mumbai - 400064",19.1874,72.8358,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0099,Royal Commonwealth Society for the Blind (Mumbai office),Maharashtra,Mumbai,"Shop A/3, New Link Road, Malad West, Mumbai - 400064",19.1874,72.8358,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0100,Salvation Army Blind Men's Hostel,Maharashtra,Mumbai,"Sheikh Hafizuddin Marg, Byculla, Mumbai - 400064",18.9776,72.8317,city,Missionary/Christian,https://www.childraise.com/v_impair_schools.html,
sbs-0101,Samarthanam Trust (Mumbai),Maharashtra,Mumbai,"B-302 Mangalya Society, Andheri East, Mumbai - 400059",19.1136,72.8697,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0102,The Muncherjee Nowrojee Banajee Industrial Home for the Blind,Maharashtra,Mumbai,"280 S.V. Road, Opposite Malcolm Baug, Jogeshwari West, Mumbai - 400102",19.1364,72.8296,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0103,The NAB Workshop for the Blind,Maharashtra,Mumbai,"Dr. Annie Besant Road, Worli, Mumbai - 400018",19.0176,72.8154,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0104,The Victoria Memorial School for the Blind,Maharashtra,Mumbai,"Tardeo Road, Mumbai - 400034",18.9711,72.8107,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0105,Voice Vision,Maharashtra,Mumbai,"103 Synthofine Estate 'A', Goregaon-East, Mumbai - 400063",19.1663,72.8526,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0106,Xavier's Resource Centre for the Visually Challenged,Maharashtra,Mumbai,"St. Xavier's College, 5 Mahapalika Marg, Mumbai - 400001",18.9467,72.8296,city,Integrated School — VI Section,https://www.childraise.com/v_impair_schools.html,
sbs-0107,Blind Boys Institute,Maharashtra,Nagpur,"Ambazari, South Ambazari Road, Nagpur - 440022",21.1266,79.035,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0108,Blind Relief Association's Mundle English Medium School,Maharashtra,Nagpur,"South Ambazari Road, Nagpur - 440022",21.1266,79.035,city,Integrated School — VI Section,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0109,Rashtriya Drushtihin Shikshan & Punarvasan Sanstha,Maharashtra,Nagpur,Nagpur,21.1458,79.0882,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0110,"Govt. Blind School, Nashik Road",Maharashtra,Nashik,"Ward No. 42, URC-2 Cluster No. 9, Nashik Road, Nashik",19.952,73.836,city,Government Special School,https://schools.org.in/nashik/27201804210/govt-blind-school-nashik-road.html,
sbs-0111,National Association for the Blind (NAB) - Nashik Branch,Maharashtra,Nashik,"Plot No. P/66, Lane No. 3, Street-A, MIDC, Satpur, Nashik - 422007",19.9975,73.7898,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0112,Helen Keller Institute for Deaf and Deaf-Blind (Navi Mumbai),Maharashtra,Navi Mumbai,"CC-1, T.T.C., M.I.D.C., Shil Mahape Road, Mahape, Navi Mumbai - 400710",19.1197,73.0169,city,Deaf-Blind School,https://www.childraise.com/v_impair_schools.html,
sbs-0113,Shahid Major Kunal Gosavi Newasi Blind School,Maharashtra,"Pandharpur, Solapur district","Kavthekar Prashala, Pandharpur, Solapur district",17.6792,75.332,city,NGO-run,https://www.justdial.com/Pandharpur/Shahid-Major-Kunal-Gosavi-Newasi-Blind-School/9999P2186-2186-181208144709-D1B4_BZDET,
sbs-0114,"Jagriti Andh Vidyalaya for Girls (National Federation of the Blind, Maharashtra)",Maharashtra,Pune,"At Post Alandi Devachi, Taluka Khed, Pune - 412105",18.6786,73.9048,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0115,Pune Andhajan Mandal — The Poona Blind Men's Association,Maharashtra,Pune,"82 Rasta Peth, Pune - 411011",18.5162,73.8636,city,NGO-run,https://www.childraise.com/v_impair_schools.html,
sbs-0116,The Poona School and Home for the Blind,Maharashtra,Pune,"14/17 Koregaon Park, Dr. S.R. Machave Road, Pune - 411001",18.5362,73.893,city,NGO-run,https://targetstudy.com/school/schools-for-blinds-schools-in-maharashtra.html,
sbs-0117,Bhiruratan Damani Andha Shala Nivasi,Maharashtra,Solapur,Solapur,17.6599,75.9064,city,NGO-run,https://www.indiainfo.net/s/blind-school-in-maharashtra,
